high,medium,low
0.09496341,0.37652513,0.5285114
0.2500268,0.42306522,0.32690805
0.051715624,0.109979995,0.8383044
0.049185798,0.34277418,0.60804
0.07139124,0.24782842,0.68078035
0.0032625801,0.09939391,0.8973436
0.023499712,0.3056062,0.6708941
0.11815089,0.5331216,0.34872758
0.08394578,0.4567138,0.45934048
0.062357865,0.27590442,0.6617377
0.004559244,0.041413456,0.95402724
0.049608868,0.4669493,0.4834419
0.06725495,0.38402027,0.5487248
0.008663379,0.035521924,0.95581466
0.008356125,0.065403126,0.9262408
0.011501529,0.11560638,0.8728921
0.0907204,0.39469612,0.51458347
0.00031849855,0.007150595,0.9925309
0.007925811,0.07732684,0.9147473
0.11336892,0.47146592,0.41516516
0.034954503,0.25688994,0.7081555
0.015509008,0.16537166,0.8191194
0.08602609,0.34418404,0.5697899
0.28190497,0.49092376,0.22717123
0.007416046,0.18088986,0.81169415
0.17892231,0.5502743,0.27080342
0.013526194,0.1821438,0.80432993
0.30747288,0.3446296,0.34789756
0.050468,0.47242883,0.47710314
0.1313493,0.26556638,0.6030844
0.18685302,0.042613007,0.7705339
0.07683023,0.4889895,0.43418023
0.018239196,0.07480081,0.90696
0.3410706,0.43928656,0.21964283
0.0049085366,0.08132846,0.91376305
0.054786738,0.18424824,0.76096505
0.07518128,0.45820898,0.46660978
0.10264802,0.61445063,0.28290132
0.0033620477,0.030687336,0.9659506
0.014629453,0.1567204,0.8286502
0.027704353,0.3243061,0.6479896
0.0043842397,0.018630745,0.976985
0.044482727,0.3150746,0.64044267
0.08109017,0.20784241,0.71106744
0.17722355,0.4211004,0.4016761
0.1092173,0.47696823,0.41381446
0.25682685,0.54732984,0.19584335
0.065688536,0.67008156,0.2642299
0.05958587,0.30817592,0.63223827
0.05640644,0.33960444,0.6039891
0.04330577,0.21311058,0.7435836
0.4813124,0.36683518,0.15185241
0.011509319,0.18763241,0.8008583
0.087792836,0.42735144,0.48485565
0.0070360554,0.07761951,0.9153444
0.098612845,0.45271656,0.4486706
0.0139882965,0.06546506,0.9205466
0.35003445,0.32218057,0.32778502
0.015900288,0.14082962,0.84327006
0.11383365,0.48955894,0.39660743
0.0046540042,0.051141825,0.94420415
0.00046015577,0.010763945,0.98877597
0.0018767872,0.034885515,0.9632377
0.018870812,0.28055856,0.7005706
0.0048428182,0.03471962,0.9604376
0.069193386,0.21654437,0.71426225
0.03657134,0.34811932,0.6153093
0.018969039,0.050012372,0.9310186
0.16060415,0.6180976,0.22129829
0.07930741,0.39748973,0.52320284
0.0017887785,0.10359627,0.894615
0.0023871663,0.023893204,0.9737196
